Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Rate of road deaths in 2023 per million population
Great Britain,3423,3409,3450,3431,3508,3221,3201,3172,2946,2538,2222,1850,1901,1754,1713,1775,1730,1792,1793,1784,1752,1460,1558,1711,1624,25
Northern Ireland,141,171,148,150,150,147,135,126,113,107,115,55,59,48,57,79,74,68,63,55,56,56,50,55,71,37
United Kingdom,3564,3580,3598,3581,3658,3368,3336,3298,3059,2645,2337,1905,1960,1802,1770,1854,1804,1860,1856,1839,1808,1516,1608,1750,1695,25
Austria,1079,976,958,956,931,878,768,730,691,679,633,552,523,531,455,430,475,432,413,409,416,344,362,370,402,44
Belgium,1397,1470,1486,1306,1214,1162,1089,1069,1067,922,955,840,875,767,723,727,755,637,620,604,644,499,516,521,483,41
Bulgaria,1047,1012,1011,959,960,943,957,1043,1006,1061,901,775,658,605,601,655,708,708,682,682,628,463,561,531,526,82
Croatia,662,655,647,627,701,608,597,614,619,659,538,426,416,393,368,308,348,307,331,317,297,237,292,275,274,60
Cyprus,113,111,98,94,97,117,102,86,89,82,71,60,71,51,44,45,57,46,53,53,52,48,45,37,34,37
Czech Republic,1455,1486,1334,1431,1447,1382,1286,1063,1222,1076,901,802,773,742,654,688,732,611,577,656,617,517,531,527,502,46
Denmark,514,498,431,463,432,369,331,306,406,392,303,265,220,167,191,182,180,211,183,175,199,163,130,154,155,26
Estonia,232,204,199,223,164,170,169,204,196,132,100,78,101,87,81,78,67,71,48,67,52,60,55,50,59,43
Finland,431,396,433,415,379,375,379,336,380,344,281,270,292,255,258,224,260,258,212,225,211,221,223,191,182,33
France,8487,8079,8160,7655,6058,5530,5318,4709,4620,4275,4273,3992,3970,3653,3268,3384,3464,3477,3448,3259,3244,2541,2944,3260,3167,48
Germany ,7772,7503,6977,6842,6613,5842,5361,5091,4949,4477,4152,3651,4002,3601,3339,3377,3475,3206,3177,3275,3046,2719,2562,2776,2830,34
Greece,2116,2037,1880,1634,1605,1670,1658,1657,1612,1559,1453,1281,1087,1027,879,795,805,824,739,690,688,578,613,635,621,60
Hungary,1306,1200,1239,1429,1326,1296,1278,1303,1232,996,822,739,638,605,591,626,647,607,624,629,602,462,544,535,481,50
Irish Republic,413,415,411,376,337,374,399,365,338,279,239,212,186,162,188,194,166,186,157,148,140,147,137,157,185,35
Italy ,6688,7061,7096,6980,6563,6122,5818,5669,5131,4739,4050,3998,3800,3650,3385,3381,3430,3283,3340,3310,3173,2395,2875,3170,3094,52
Latvia,604,588,558,559,532,516,442,1043,419,316,254,218,179,177,179,212,188,158,136,148,132,139,147,113,142,75
Lithuania,748,641,706,697,709,752,773,759,739,498,370,300,297,301,258,265,241,192,192,170,186,175,148,120,160,56
Luxembourg,58,76,70,62,53,50,45,36,43,35,47,32,33,34,45,35,36,32,25,36,22,26,24,36,26,39
Malta,4,15,16,16,16,13,17,11,14,15,21,15,17,9,18,10,11,22,19,18,16,12,9,26,16,30
Netherlands,1090,1082,993,987,1028,804,750,730,791,750,720,640,661,650,570,570,620,629,613,678,661,610,582,737,684,38
Poland,6730,6294,5534,5827,5640,5712,5444,5243,5583,5437,4572,3907,4189,3571,3357,3202,2938,2992,2831,2862,2909,2491,2245,1896,1893,52
Portugal,1995,1860,1671,1675,1546,1294,1247,969,974,882,839,845,785,743,637,638,627,565,624,606,626,495,514,614,600,60
Romania,2505,2499,2461,2398,2235,2418,2461,2478,2794,3063,2796,2377,2018,2042,1861,1818,1893,1913,1951,1867,1864,1646,1779,1634,1545,81
Slovakia,647,628,614,610,645,603,560,579,627,606,385,353,324,295,223,258,274,275,276,229,245,224,226,244,267,50
Slovenia,334,313,278,269,242,274,258,263,293,214,171,138,141,130,125,108,120,130,104,91,102,80,114,85,82,39
Spain ,5738,5776,5517,5347,5400,4749,4442,4104,3823,3102,2668,2470,2056,1903,1680,1661,1688,1810,1827,1806,1755,1366,1508,1759,1779,37
Sweden,580,591,531,515,512,463,423,428,454,380,341,266,314,285,260,270,259,270,253,324,221,204,201,227,229,22
Israel,466,452,531,515,445,467,437,405,382,412,314,352,341,263,277,279,322,335,321,316,355,305,364,351,363,37
Iceland,21,32,24,29,23,23,19,31,15,12,17,8,12,9,15,4,16,18,16,18,6,8,9,9,,
Norway,304,341,275,312,282,259,224,242,233,255,212,210,168,145,187,147,118,135,106,108,108,93,80,116,110,20
Serbia,,,,,,,,,968,905,809,660,731,688,650,536,599,607,579,546,534,492,521,553,503,76
Switzerland,583,592,554,513,546,510,409,370,384,357,349,327,320,286,269,243,253,216,230,233,187,227,200,241,236,27
Australia ,1758,1817,1737,1715,1621,1590,1627,1598,1617,1466,1504,1366,1292,1299,1185,1155,1207,1296,1227,1145,1184,1093,1122,1188,,
Canada,2972,2904,2758,2921,2777,2735,2898,2871,2753,2431,2216,2238,2023,2075,1951,1841,1887,1900,1861,1939,1756,1746,1768,,,
Japan,10372,10403,10060,9575,8877,8492,7931,7272,6639,6023,5772,5745,5449,5237,5152,4838,4859,4698,4431,4166,3920,3219,3205,3216,,
New Zealand,509,462,455,404,461,436,405,391,422,366,384,375,284,308,253,295,320,327,379,380,352,318,318,,,
Republic of Korea,10756,10236,8097,7222,7212,6563,6376,6327,6166,5870,5838,5505,5229,5392,5092,4762,4621,4292,4185,3781,3349,3081,2916,2735,,
United States of America,41717,41945,42116,42815,42643,42636,43443,42708,41259,37261,33963,32788,32310,33561,32719,32675,38300,37461,37150,36750,36096,38680,42915,42795,,